Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Cramlington and Killingworth,Northern England,Lab,18.9,49.1,4.2,4.7,0.0,0.0,20.8,0.0,2.0,0.3
Crawley,Southern England,Lab,26.8,38.2,4.8,5.7,0.0,0.0,18.5,0.0,0.0,5.9
Crewe and Nantwich,Northern England,Lab,23.5,44.1,4.8,4.6,0.0,0.0,20.3,0.0,0.0,2.6
Croydon East,London,Lab,26.8,42.4,8.1,9.4,0.0,0.0,13.4,0.0,0.0,0.0
Croydon South,London,Con,40.0,35.3,8.9,5.8,0.0,0.0,8.4,0.0,0.4,1.2
Croydon West,London,Lab,16.8,54.1,9.6,10.1,0.0,0.0,5.6,0.0,0.0,3.8
Cumbernauld and Kirkintilloch,Scotland,Lab,4.7,45.2,3.2,4.1,35.1,0.0,7.7,0.0,0.0,0.0
Dagenham and Rainham,London,Lab,17.8,42.6,2.7,10.8,0.0,0.0,24.2,0.0,1.9,0.0
Darlington,Northern England,Lab,33.8,39.2,4.1,6.7,0.0,0.0,16.2,0.0,0.0,0.0
Dartford,Southern England,Lab,31.9,34.6,4.9,7.2,0.0,0.0,21.4,0.0,0.0,0.0
Daventry,Midlands,Con,33.7,28.0,12.7,5.6,0.0,0.0,20.0,0.0,0.0,0.0
Derby North,Midlands,Lab,23.7,45.5,4.5,8.0,0.0,0.0,18.3,0.0,0.0,0.0
Derby South,Midlands,Lab,13.9,38.8,4.8,5.1,0.0,0.0,22.7,0.0,0.8,13.9
Derbyshire Dales,Midlands,Lab,34.0,34.6,9.5,5.5,0.0,0.0,15.1,0.0,0.7,0.6
Dewsbury and Batley,Northern England,Ind,11.0,22.9,3.5,5.4,0.0,0.0,16.2,0.0,41.1,0.0
Didcot and Wantage,Southern England,LDem,28.4,14.7,39.8,4.9,0.0,0.0,11.7,0.0,0.0,0.4
Doncaster Central,Northern England,Lab,21.0,46.2,3.2,5.0,0.0,0.0,20.8,0.0,0.0,4.0
Doncaster East and the Isle of Axholme,Northern England,Lab,32.7,38.6,3.0,3.6,0.0,0.0,21.7,0.0,0.0,0.4
Doncaster North,Northern England,Lab,22.9,52.4,3.4,5.7,0.0,0.0,0.0,0.0,0.0,15.6
Dorking and Horley,Southern England,LDem,31.1,8.1,41.9,5.1,0.0,0.0,13.8,0.0,0.0,0.0
Dover and Deal,Southern England,Lab,21.7,39.6,5.4,6.5,0.0,0.0,23.8,0.0,2.0,0.9
Droitwich and Evesham,Midlands,Con,40.3,22.1,10.3,7.7,0.0,0.0,19.1,0.0,0.0,0.5
Dudley,Midlands,Lab,28.8,34.1,3.0,3.2,0.0,0.0,26.4,0.0,2.8,1.7
Dulwich and West Norwood,London,Lab,8.5,60.3,7.7,18.9,0.0,0.0,4.0,0.0,0.7,0.0
Dumfries and Galloway,Scotland,Con,29.6,25.7,4.6,2.7,27.5,0.0,9.4,0.0,0.0,0.5
"Dumfriesshire, Clydesdale and Tweeddale",Scotland,Con,33.9,22.9,6.3,3.4,24.3,0.0,8.6,0.0,0.0,0.5
Dundee Central,Scotland,SNP,4.0,38.3,6.2,0.0,40.0,0.0,6.1,0.0,0.4,5.1
Dunfermline and Dollar,Scotland,Lab,7.4,45.7,7.1,4.7,27.2,0.0,6.5,0.0,0.9,0.6
Dunstable and Leighton Buzzard,Southern England,Lab,31.1,32.5,14.1,4.6,0.0,0.0,17.5,0.0,0.0,0.2
Dwyfor Meirionnydd,Wales,PC,11.7,14.6,3.4,3.6,0.0,53.9,12.0,0.0,0.0,0.7
Ealing Central and Acton,London,Lab,17.5,46.8,12.7,11.4,0.0,0.0,6.5,0.0,0.6,4.6
Ealing North,London,Lab,18.8,47.8,5.9,9.4,0.0,0.0,9.1,0.0,1.2,7.8
Ealing Southall,London,Lab,15.4,49.1,6.0,9.3,0.0,0.0,5.5,0.0,4.5,10.1
Earley and Woodley,Southern England,Lab,37.8,39.7,13.4,7.4,0.0,0.0,0.0,0.0,0.0,1.7
Easington,Northern England,Lab,10.9,48.9,2.4,3.4,0.0,0.0,29.8,0.0,0.0,4.6
East Antrim,Northern Ireland,DUP,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,98.6
East Grinstead and Uckfield,Southern England,Con,38.3,20.7,21.5,10.5,0.0,0.0,0.0,0.0,4.9,4.0
East Ham,London,Lab,10.2,51.6,3.2,11.2,0.0,0.0,3.5,0.0,20.2,0.0
East Hampshire,Southern England,Con,37.0,9.7,34.5,4.8,0.0,0.0,13.0,0.0,0.0,1.0
East Kilbride and Strathaven,Scotland,Lab,7.6,48.6,2.3,3.9,29.2,0.0,7.2,0.0,0.0,1.3
East Londonderry,Northern Ireland,DUP,0.5,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,98.5
East Renfrewshire,Scotland,Lab,16.9,43.7,2.3,3.0,26.9,0.0,4.7,0.0,0.0,2.5
East Surrey,Southern England,Con,35.6,20.4,18.0,6.0,0.0,0.0,17.0,0.0,2.3,0.7
East Thanet,Southern England,Lab,23.6,39.9,3.2,10.7,0.0,0.0,20.1,0.0,2.4,0.0
East Wiltshire,Southern England,Con,35.7,25.7,17.4,3.9,0.0,0.0,16.7,0.0,0.0,0.6
East Worthing and Shoreham,Southern England,Lab,25.7,45.1,6.5,6.6,0.0,0.0,14.6,0.0,1.6,0.0
Eastbourne,Southern England,LDem,25.3,5.9,52.1,3.1,0.0,0.0,13.3,0.0,0.0,0.3
Eastleigh,Southern England,LDem,31.1,15.1,34.4,5.2,0.0,0.0,13.3,0.0,1.0,0.0
Edinburgh East and Musselburgh,Scotland,Lab,5.7,41.2,4.3,10.2,33.1,0.0,4.7,0.0,0.8,0.0
Edinburgh North and Leith,Scotland,Lab,6.6,42.1,7.8,10.9,27.4,0.0,3.7,0.0,0.3,1.3
Edinburgh South,Scotland,Lab,8.5,53.3,5.9,9.1,16.5,0.0,3.9,0.0,1.2,1.5
Edinburgh South West,Scotland,Lab,12.2,40.9,6.6,7.6,27.3,0.0,4.6,0.0,0.4,0.6
Edinburgh West,Scotland,LDem,5.5,15.0,50.8,4.0,19.4,0.0,4.2,0.0,1.0,0.2
Edmonton and Winchmore Hill,London,Lab,19.2,50.0,6.6,9.0,0.0,0.0,8.5,0.0,4.1,2.5
Ellesmere Port and Bromborough,Northern England,Lab,12.4,57.6,5.5,6.4,0.0,0.0,17.3,0.0,0.6,0.0
